Artist_ID,Artist
1,The Beatles
2,The Beach Boys
3,Bob Dylan
4,Marvin Gaye
5,The Rolling Stones
6,The Clash
7,Elvis Presley
8,Miles Davis
9,The Velvet Underground
10,The Jimi Hendrix Experience
11,Nirvana
12,Bruce Springsteen
13,Van Morrison
14,Michael Jackson
15,Chuck Berry
16,Robert Johnson
17,John Lennon / Plastic Ono Band
18,Stevie Wonder
19,James Brown
20,Fleetwood Mac
21,U2
22,The Who
23,Led Zeppelin
24,Joni Mitchell
25,Ramones
26,The Band
27,David Bowie
28,Carole King
29,Eagles
30,Muddy Waters
31,Love
32,Sex Pistols
33,The Doors
34,Pink Floyd
35,Patti Smith
36,Bob Marley & The Wailers
37,John Coltrane
38,Public Enemy
39,The Allman Brothers Band
40,Little Richard
41,Simon & Garfunkel
42,Al Green
43,Ray Charles
44,Creedence Clearwater Revival
45,Captain Beefheart & His Magic Band
46,Sly & The Family Stone
47,Guns N' Roses
48,Phil Spector
49,Radiohead
50,Billy Joel
51,Paul Simon
52,Curtis Mayfield
53,Neil Young
54,Prince and the Revolution
55,AC/DC
56,Otis Redding
57,John Lennon
58,Aretha Franklin
59,Johnny Cash
60,Dusty Springfield
61,Elton John
62,Buddy Holly
63,Prince
64,Hank Williams
65,Elvis Costello
66,The Zombies
67,Frank Sinatra
68,Cream
69,James Taylor
70,Sam Cooke
71,The Mamas and the Papas
72,Derek and the Dominos
73,Kanye West
74,Etta James
75,The Byrds
76,Various Artists
77,Run D.M.C.
78,Moby Grape
79,Janis Joplin
80,The Wailers
81,Iggy and The Stooges
82,Talking Heads
83,Television
84,Black Sabbath
85,The Notorious B.I.G.
86,Pavement
87,The Replacements
88,Dr. Dre
89,The Meters
90,Blondie
91,B.B. King
92,"Dr. John, the Night Tripper"
93,N.W.A
94,Steely Dan
95,Jefferson Airplane
96,"Crosby, Stills, Nash & Young"
97,Santana
98,Arcade Fire
99,The B 52's
100,A Tribe Called Quest
101,Howlin' Wolf
102,Pretenders
103,Beastie Boys
104,Joy Division
105,KISS
106,T. Rex
107,Linda Ronstadt
108,Elvis Costello & The Attractions
109,Metallica
110,Rod Stewart
111,Todd Rundgren
112,Carpenters
113,Aerosmith
114,Funkadelic
115,Curtis Mayfield and The Impressions
116,ABBA
117,Willie Nelson
118,Madonna
119,The Stooges
120,Peter Gabriel
121,Buffalo Springfield
122,Quicksilver Messenger Service
