Label_ID,Label
1,Parlophone
2,Mobile Fidelity Sound Lab
3,Columbia
4,Motown
5,Capitol Records
6,Sony Music Japan International Inc.
7,Unknown
8,RCA
9,Groove Replica
10,Polydor
11,Apple Records
12,MCA Records
13,DGC Records
14,CBS
15,Warner Music Korea
16,Epic
17,"BMG Direct Marketing, Inc."
18,CBS/Sony
19,Tamla Motown
20,Warner Bros. Records
21,Island
22,Atlantic
23,Reprise Records
24,Sony Records International
25,ABKCO
26,Sire Records
27,EMI
28,Legacy
29,DCC Compact Classics
30,SomeWax
31,Pink Floyd Records
32,Arista
33,Tuff Gong
34,Castle Pie
35,Def Jam Recordings
36,Classic Records
37,Hallmark Records
38,Experience Hendrix
39,Fantasy
40,Geffen Records
41,Rolling Stones Records
42,Rhino
43,Curtom Records
44,ATCO Records
45,Sony Music
46,Sony BMG Music Entertainment
47,Philips
48,Tamla
49,Paisley Park
50,Demon Records
51,"Vinyl Me, Please."
52,[no label]
53,Blue Moon
54,RSO
55,Jazz Images
56,Rykodisc
57,Cotillion
58,Universal Music Special Markets
59,Asylum Records
60,PolyGram
61,Roc‐A‐Fella Records
62,Argo
63,Edsel Records
64,Sundazed Music
65,Warner-Pioneer Corporation
66,Vertigo
67,Bad Boy Records
68,Death Row Records
69,Chrysalis
70,Lucas RecordsDigital
71,Priority Records
72,Selles Records
73,Pastel Music
74,Jive
75,Chess
76,Real Records
77,Factory
78,Columbia House
79,Mercury Records
80,Volt
81,XL Recordings
82,Time–Life Music
83,A&M Records
84,Charly Records
85,UTV Records
86,Decca Records
87,Columbia Nashville
88,Warner Music Japan
89,Rhino Records
90,Real World
91,BMG Heritage
92,I.R.S. Records
93,Checker
94,TVT Records
95,Analogue Productions
96,Matador
97,"Virgin Records America, Inc."
98,Warner Music UK
99,Josie Records
100,Sheer Music
101,Island Masters
102,Sanctuary Records
103,Music Digital
104,Vogue
105,Warner Records
106,Roadrunner Records
107,London Records
108,Interscope Records
109,Yellow Snow Records
110,Victor
111,JDJ Entertainment
112,Rhino Atlantic
113,Elektra
114,Sony Music Commercial Music Group
115,Kill Rock Stars
116,Audio Fidelity
117,Universal Music Australia
118,PolyGram Australia
119,Smithsonian Folkways
120,RCA Victor
121,Uptown Records
122,20th Century Records
123,Fat Possum Records
124,Hi Records
125,Verve
126,Third Man Records
127,Stern's Music
128,Rough Trade
129,Videoarts Music
130,Buddha Records
131,Music on Vinyl
132,Bong Load Custom Records
133,Ruffhouse Records
134,4AD
135,Universal International
136,Fiction
137,Ryko Records
138,Hostess Entertainment Unlimited
139,Mute
140,Palm Pictures
141,Tommy Boy
142,Speakers Corner
143,The Great American Music Company
144,Domino
145,Virgin Records
146,Epic Associated
147,American Recordings
148,Warner Strategic Marketing
149,One Little Independent Records
150,Big Brother
151,LaFace Records
152,Beserkley Records
153,Wu-Tang Records
154,Shanachie
155,E’G
156,Wild Bunch Records
157,Stax
158,Ensign
159,Pinkflag
160,SST Records
161,Anti‐
162,Universal Island Records
163,Concord Records
164,Go! Discs
165,Brunswick
166,Artemis Records
167,Editions EG
168,Ardent Records
169,Cash Money Records
170,Ariola
171,"Far Out Productions, Inc."
172,Steve Miller
173,Universal Records
174,Fresh Records
175,Straight Records
176,ATO Records
177,EMI Music Canada
178,Bludgeon Riffola
179,Merge Records
180,Planeta DeAgostini
181,wea
182,Because Music
183,Bad Boy Entertainment
184,Capitol Records Nashville
185,MCA Nashville
186,Westbound Records
187,Portrait
188,Nonesuch
189,Silvertone Records
